""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"	"27"	"28"	"29"	"30"	"31"	"32"	"33"	"34"	"35"	"36"	"37"	"38"	"39"	"40"	"41"	"42"	"43"	"44"	"45"	"46"	"47"	"48"	"49"	"50"	"51"	"52"	"53"	"54"	"55"	"56"	"57"	"58"	"59"	"60"	"61"
"34"	8	4	1	1	1	4	1	8	4	5	2	4	1	8	1	4	1	1	1	4	5	1	4	4	4	4	2	1	8	4	4	4	1	2	1	1	4	4	4	4	8	4	4	8	1	4	4	4	1	1	4	4	8	4	8	4	4	1	8	4	5
"35"	4	3	4	4	4	5	4	4	4	5	4	4	4	5	4	4	5	4	4	5	5	4	3	5	4	3	3	1	5	2	4	3	5	3	2	5	5	4	3	4	4	3	5	4	5	3	5	4	4	5	4	5	8	1	4	5	3	5	4	4	4
"36"	3	5	5	5	5	3	3	3	5	4	3	4	5	3	5	3	4	4	5	3	5	5	4	3	4	4	4	5	5	5	5	4	4	3	5	2	3	3	4	4	4	5	4	4	5	4	3	4	4	3	5	4	8	5	3	3	3	1	5	5	5
"37"	8	4	5	4	4	1	4	4	5	4	4	4	5	1	5	4	1	4	4	1	4	5	7	1	4	4	4	5	4	5	5	4	1	4	5	1	4	4	4	4	4	5	4	4	4	4	1	4	4	1	4	1	8	5	8	1	4	1	8	4	5
"38"	4	4	4	1	4	4	1	1	4	4	4	4	1	1	1	4	1	4	4	4	4	1	4	4	4	4	4	5	4	1	4	4	4	4	4	1	4	4	4	4	4	1	1	1	1	4	4	4	4	4	4	1	8	5	4	1	4	1	8	4	4
"39"	4	4	1	4	1	4	4	1	4	5	4	1	4	5	1	4	5	4	4	4	4	1	4	4	4	4	1	1	5	1	4	4	1	4	1	4	4	4	1	4	4	5	5	1	5	1	1	1	4	4	4	1	8	1	4	4	3	1	8	4	5
"40"	8	4	4	4	1	4	4	8	4	4	4	4	4	4	4	4	4	4	5	4	1	1	4	4	4	4	4	4	5	1	4	4	4	4	4	4	4	4	4	2	8	8	4	4	5	4	8	1	4	4	4	1	8	4	8	4	3	5	8	4	5
"41"	8	4	1	1	4	5	4	8	1	4	4	4	1	8	1	4	4	1	4	4	5	4	4	4	4	4	8	4	8	1	8	4	5	8	4	4	4	4	4	8	2	8	8	8	4	8	8	8	5	4	5	8	8	4	8	8	8	5	8	4	5
"42"	8	2	2	2	5	5	3	8	1	4	3	5	2	8	1	4	4	3	2	5	5	2	3	5	3	2	4	4	8	2	4	3	5	4	1	5	5	3	5	8	8	2	3	8	2	4	8	4	4	4	5	4	8	4	8	2	3	5	8	3	4
"43"	8	4	4	4	5	4	4	8	4	4	4	5	4	4	4	4	4	4	1	4	4	5	4	4	4	4	5	5	4	5	4	4	5	4	5	4	4	3	5	4	8	1	2	4	1	5	5	5	4	4	4	5	8	4	8	4	4	5	8	4	4
