,GSM39440,GSM39441,GSM39442,GSM39443,GSM39444,GSM39445,GSM39446,GSM39447,GSM39448,GSM39449,GSM39450,GSM39451,GSM39452,GSM39453,GSM39454,GSM39455,GSM39456,GSM39457,GSM39458,GSM39504,GSM39505,GSM39506,GSM39508,GSM39509,GSM39510,GSM39511,GSM39512,GSM39513,GSM39514,GSM39515,GSM39516,GSM39517,GSM39518,GSM39519,GSM39520,GSM39521,GSM39522,GSM39523,GSM39524,GSM39525,GSM39526,GSM39527,GSM39528,GSM39529,GSM39530,GSM39531,GSM39532,GSM39533,GSM39534,GSM39535,GSM39536,GSM39537,GSM39538,GSM39539,GSM39540,GSM39541,GSM39542,GSM39543,GSM39544,GSM39545,GSM39546
time(min),41,66,122,53,101,0,66,83,122,143,186,0,53,83,186,83,83,186,186,0,23,41,23,41,101,122,143,0,0,0,23,23,23,23,41,41,53,53,53,66,66,83,83,83,66,66,101,101,122,122,143,143,143,186,186,186,41,53,83,101,122
tbx-9 190539_s_at,0.376352626666667,0.595345758888889,2.70816783666667,1.15492907111111,1.29003669333333,0.980947421111111,1.07717641111111,1.44343333333333,1.48263818333333,1.15456538222222,1.80263069,1.36837552888889,1.07400486222222,2.39234810777778,1.40474291,1.16403967888889,2.37443080555556,1.38952794666667,1.80713870555556,0.465180275555556,0.433230327777778,0.624866837777778,0.218643281111111,0.699898957777778,1.01125694333333,1.39840151333333,1.14138266888889,1.66598430666667,1.71332677666667,1.54708091,1.20495542222222,1.27231415555556,1.27340168222222,1.19662489777778,1.31571793222222,1.22579453444444,1.36475987777778,1.31777764444444,1.2459125,0.812183598888889,0.888586676666667,2.5567236,2.20406199333333,1.92460014777778,1.51444276,1.70580837111111,2.14834175777778,2.01960189555556,1.35782409555556,1.69325398666667,1.13068577222222,1.28445975555556,1.15029223444444,1.06829716888889,1.30293740222222,1.52445702888889,0.972850994444444,1.27444688222222,2.07490698555556,2.00518272444444,1.26184012777778
scrt-1 192307_at,0.0441653422222222,0.0171876744444445,2.32873247666667,0.0663209022222222,0.915696597777778,0.0144695466666667,0.112154216666667,0.376136974444444,1.46062216444444,0.909029286666667,0.817762088888889,-0.0699178922222222,0.00191630888888889,1.07629832222222,0.233737852222222,0.577569517777778,0.936570496666667,0.453144731111111,0.617933163333333,0.00472614222222222,-0.0356301144444444,-0.0543127055555556,-0.0378051066666667,-0.06641437,0.882671628888889,1.58974689444444,0.601014002222222,-0.00823223555555556,-0.00939434333333333,0.0418720833333333,0.000523584444444441,-0.0110691455555556,0.0280676277777778,0.0159432155555556,0.02616572,-0.0229215522222222,-0.0219768122222222,0.08636607,0.0535208377777778,0.0278156277777778,0.00912061333333333,0.371438075555556,0.346910611111111,0.259902792222222,0.0224790877777778,0.203467593333333,0.482822884444444,0.594408947777778,0.700632208888889,0.698510957777778,0.20064489,0.398803351111111,0.171940984444444,0.241702961111111,0.25220687,0.132735061111111,-0.0204891711111111,0.0446165744444444,0.268716985555556,0.306071474444444,0.396061865555556
pal-1 174043_at,3.36697258777778,2.40509314888889,5.00998675888889,2.47640393666667,3.42192734444444,2.92842568666667,1.27427697333333,2.08784802222222,3.94722767666667,2.91019573333333,2.78162713333333,2.64620306666667,3.08506338,2.52276595555556,2.86614308555556,2.29680608333333,2.52311045111111,2.58682405333333,2.81988814111111,2.96059562777778,3.01358526555556,2.98826349777778,2.43284993777778,3.03467861555556,2.93889265777778,3.97514373888889,3.65906718555556,2.73948335444444,2.74216202666667,2.50379221111111,2.40183461888889,2.34251110111111,2.55481885888889,2.19798287888889,2.14479669222222,1.81331874111111,1.81198853444444,1.57137917888889,1.89975722888889,1.67714991444444,1.62324194888889,1.76103157555556,1.43016944555556,1.52593231333333,1.38695444111111,1.04285899333333,1.68964347,1.52897414444444,1.55266618333333,2.05433180777778,1.78651263333333,1.98399602555556,1.96315818666667,1.24799606444444,1.54483694888889,1.45198677444444,2.05048527555556,1.74045773777778,1.46673450444444,1.68422399111111,2.11508257222222
pal-1 193341_at,0.526956001111111,0.433945017777778,1.94812105444444,0.856268205555555,0.741447568888889,0.870617463333333,0.338046474444444,0.271580892222222,1.09374548222222,0.637551287777778,1.91441564222222,1.96224817888889,0.924115452222222,1.28358989444444,1.07120327333333,0.823226957777778,1.07907846666667,0.910982946666667,1.58728499222222,0.423126242222222,-0.000704386666666669,0.543363414444444,0.122057832222222,0.737640622222222,0.673381485555556,1.43022642666667,1.00270983444444,1.63486428555556,1.89337373888889,1.65899316888889,1.89176451444444,1.84476603111111,1.34152068666667,1.84998005333333,1.12735022111111,1.00084204555556,0.800390104444444,0.802017596666667,1.04622522666667,0.368000661111111,0.349194046666667,0.660404196666667,0.469203171111111,0.440815246666667,0.605746216666667,0.359202437777778,0.780402661111111,0.731561695555556,1.03706081111111,0.998890563333333,0.647875022222222,0.845664764444444,0.691238288888889,0.57903981,0.547130848888889,0.536552292222222,0.630342223333333,0.882999385555556,0.512823776666667,0.570455082222222,0.580847391111111
pal-1 193342_s_at,0.9698566,0.78446823,2.57304509444444,1.28786593777778,1.38021037333333,1.69151803555556,0.285558324444444,0.583772137777778,1.55739897,1.08225789555556,1.93260927222222,1.99943361888889,1.34250937222222,1.55357729222222,1.48481990222222,0.802530812222222,1.44244994111111,1.18073680666667,1.86863966777778,1.47696191222222,0.412081362222222,1.10336467555556,0.501768028888889,1.43294731888889,1.06631505666667,1.94227191333333,1.36460501111111,2.47743702888889,2.37493626888889,2.11613068333333,2.12281674777778,2.08799049666667,2.00389114333333,2.14628713555556,1.34550727666667,1.19429242777778,1.04494362666667,1.09391492222222,1.32801204777778,0.731758167777778,0.755833616666667,0.991121433333333,0.800225693333333,0.790887804444445,0.780653654444444,0.417966792222222,1.03381968333333,0.990443317777778,1.47312395888889,1.50840851444444,1.04651307777778,1.13813248333333,0.947021721111111,0.92429579,0.838277061111111,0.827841152222222,1.21624046555556,1.39552686333333,0.841723478888889,1.18144352888889,1.03099430888889
lin-26 190309_at,0.0778037433333333,0.0838244477777778,0.0395614922222222,0.11959209,0.0502414677777778,0.808113913333333,0.104425875555556,0.00661878666666666,0.165700301111111,0.57544306,2.16252932,1.55707458777778,0.216610047777778,0.330578203333333,1.51578046888889,0.0660473577777778,0.245785937777778,1.26865727111111,2.16615566222222,0.47091123,0.224287213333333,0.317712698888889,0.244587122222222,0.457946195555556,0.165422674444444,0.186746754444444,0.484255425555556,1.18391439,0.832613638888889,1.03688012,1.60219368888889,1.50934348666667,1.13242442666667,1.67193852888889,0.709394594444444,0.585340621111111,0.388104231111111,0.48035035,0.55374606,0.125449397777778,0.142806366666667,0.327916326666667,0.271825912222222,0.228628557777778,0.192274312222222,0.343170704444444,0.250977467777778,0.341207552222222,0.916338992222222,0.595698653333333,0.666415321111111,0.873066932222222,0.789105367777778,1.27313991333333,1.17347527,1.21853468222222,0.252100705555556,0.587077728888889,0.295901902222222,0.250264104444444,0.486106091111111
lin-26 174037_at,1.35637644222222,0.726757788888889,0.972842947777778,0.912530496666667,1.27768121222222,2.14072558333333,0.448438493333333,0.440584947777778,1.44996322222222,1.86312721666667,3.52084362888889,2.57435350666667,1.30841223444444,1.18975649333333,3.83660925777778,0.434931158888889,1.01301151444444,3.62937761777778,3.90071052222222,2.31568898333333,1.71047445333333,1.84727097,1.45874243888889,1.91440270222222,0.380492367777778,1.65170409111111,2.69060163444444,2.37044295,2.01779954777778,2.27370155666667,2.17405955222222,2.22823008444444,2.45526643222222,2.35290812777778,1.57163492111111,1.50619808111111,1.00030237888889,1.07818170111111,1.15821875333333,0.848202204444444,0.856783318888889,0.982186391111111,1.02640196222222,0.917994637777778,0.862263712222222,0.750637074444444,1.07396276222222,1.02591832333333,1.69201874888889,1.74639862444444,2.2249622,2.02368007111111,2.05402994222222,2.87490398222222,3.07499743777778,3.05536836555556,1.66177032666667,1.07059016555556,1.02758140222222,0.963651371111111,1.60744165
cwn-1 188486_s_at,0.224935564444444,1.04450672888889,4.52996362777778,1.04988747222222,2.31937682888889,-0.0763005311111111,0.910615936666667,1.71081353,3.15302061444444,1.82771513666667,3.45946663333333,-0.0601551866666667,0.849182336666667,2.20073043111111,3.42970556,1.59861445777778,2.84498062888889,2.79374490888889,2.74605089555556,-0.0882631044444444,0.368519065555556,0.0312180033333333,-0.181260372222222,0.211001513333333,1.99856876222222,3.78669309555556,3.19006953111111,-0.0700253722222222,-0.0898609811111111,0.0611665411111111,0.395268178888889,0.168583336666667,0.225847353333333,0.360653181111111,0.379456378888889,0.380543117777778,0.490956132222222,0.541753373333333,0.444083032222222,0.189831087777778,0.337635818888889,1.44041749666667,1.43566507333333,1.19058329333333,0.564372572222222,0.586215137777778,1.40195799111111,1.45767060777778,1.77635885,2.05289636777778,1.59733929,1.90197727666667,1.76202047333333,1.09114035111111,1.40764543333333,1.45285557,0.134255054444444,0.37936764,1.55539865777778,1.09660438111111,1.65591149333333
elt-1 192655_s_at,-0.0317397688888889,0.0921092844444444,2.29083769777778,0.0935734444444444,0.862031604444444,0.340961651111111,0.172075351111111,0.309206043333333,2.01017641333333,0.946704332222222,2.17711637222222,0.188290498888889,0.10405292,1.80999604666667,1.58926051888889,0.737383721111111,1.54539317,1.56948828777778,2.03851797111111,0.0472826644444445,-0.0352534555555556,-0.0823055522222222,0.0347080888888889,0.137140525555556,1.39473623777778,2.52327701777778,1.87958344111111,0.369807858888889,0.0901199433333333,0.275440656666667,0.242138312222222,0.320624144444444,0.209812551111111,0.303350668888889,0.493765493333333,0.28665886,0.389886364444444,0.291454226666667,0.267900602222222,0.132949736666667,0.00865783444444444,2.06265197444444,1.81503188333333,1.66451365444444,0.6152718,0.755705178888889,2.25169573,2.57932501111111,3.00148206444444,2.60122358444444,2.18613397444444,2.43676875111111,2.44157236111111,1.85547484111111,1.53801770555556,1.43525847888889,0.244510786666667,0.320282773333333,1.92508748333333,2.15009349,2.58012520111111
